Symbol,Action,Strategy,Leverage,Entry_Time,Entry_Price,TP,SL,Status,Exit_Time,Exit_Price,PnL_Percent
BTC/USDT,BUY,LONG_TERM,5,2026-01-27 20:08:10,88014.0,90623.71799684389,86709.14100157807,OPEN,,,0.0
SOL/USDT,BUY,LONG_TERM,3,2026-01-27 20:08:12,124.24,129.88714934955098,121.4164253252245,OPEN,,,0.0
ZEC/USDT,SELL,SHORT_TERM,1,2026-01-27 20:08:24,382.71,366.0023679806783,393.8484213462144,CLOSED,2026-01-28 18:46:41,394.21,-3.0
BNB/USDT,BUY,SHORT_TERM,5,2026-01-27 20:08:26,880.86,892.9709623957255,872.7860250695164,CLOSED,2026-01-28 16:45:46,903.26,2.54
DOGE/USDT,BUY,LONG_TERM,3,2026-01-27 20:08:31,0.12247,0.1278334509766225,0.1197882745116887,OPEN,,,0.0
AXS/USDT,BUY,LONG_TERM,1,2026-01-27 20:08:34,2.571,3.160441266261524,2.2762793668692387,OPEN,,,0.0
BNB/USDT,BUY,SHORT_TERM,5,2026-01-28 16:46:02,903.31,915.844780968063,894.9534793546246,OPEN,,,0.0
SUI/USDT,SELL,LONG_TERM,2,2026-01-28 16:46:14,1.4222,1.3434556436367369,1.4615721781816315,OPEN,,,0.0
