timestamp,open,high,low,close,volume,datetime
1768478400000,0.035,0.09708,0.035,0.05487,2028373175.0,2026-01-15 12:00:00
1768492800000,0.05486,0.05544,0.04715,0.04751,885390979.0,2026-01-15 16:00:00
1768507200000,0.0475,0.04879,0.045,0.04875,464574362.0,2026-01-15 20:00:00
1768521600000,0.04875,0.05052,0.04221,0.04322,511536680.0,2026-01-16 00:00:00
1768536000000,0.04322,0.04439,0.03912,0.04084,347529418.0,2026-01-16 04:00:00
1768550400000,0.04085,0.04389,0.03864,0.04232,339847440.0,2026-01-16 08:00:00
1768564800000,0.04233,0.04286,0.03811,0.03878,228533568.0,2026-01-16 12:00:00
1768579200000,0.03878,0.03878,0.03653,0.03752,201413083.0,2026-01-16 16:00:00
1768593600000,0.03751,0.03935,0.03735,0.03925,79467295.0,2026-01-16 20:00:00
1768608000000,0.03924,0.04103,0.03768,0.03967,157542231.0,2026-01-17 00:00:00
1768622400000,0.03968,0.04085,0.03819,0.03884,136618132.0,2026-01-17 04:00:00
1768636800000,0.03883,0.03884,0.03763,0.03825,109477134.0,2026-01-17 08:00:00
1768651200000,0.03824,0.03826,0.03611,0.03795,133344105.0,2026-01-17 12:00:00
1768665600000,0.03795,0.03817,0.03671,0.03725,78643161.0,2026-01-17 16:00:00
1768680000000,0.03725,0.03736,0.03293,0.0341,102874753.0,2026-01-17 20:00:00
1768694400000,0.03409,0.03544,0.03341,0.03471,97018035.0,2026-01-18 00:00:00
1768708800000,0.03471,0.03621,0.03444,0.03515,112604477.0,2026-01-18 04:00:00
1768723200000,0.03516,0.03647,0.03443,0.03474,121563574.0,2026-01-18 08:00:00
1768737600000,0.03474,0.03493,0.03355,0.03388,114424650.0,2026-01-18 12:00:00
1768752000000,0.03388,0.03536,0.03276,0.03453,113203062.0,2026-01-18 16:00:00
1768766400000,0.03453,0.03518,0.03304,0.03309,67217396.0,2026-01-18 20:00:00
1768780800000,0.03308,0.03314,0.026,0.02847,254095774.0,2026-01-19 00:00:00
1768795200000,0.02847,0.02868,0.02718,0.02767,125701223.0,2026-01-19 04:00:00
1768809600000,0.02767,0.02854,0.02712,0.0279,132508858.0,2026-01-19 08:00:00
1768824000000,0.02792,0.03093,0.0277,0.03073,197508166.0,2026-01-19 12:00:00
1768838400000,0.03072,0.03447,0.03003,0.0325,207609390.0,2026-01-19 16:00:00
1768852800000,0.03251,0.03251,0.03031,0.03127,116154951.0,2026-01-19 20:00:00
1768867200000,0.03125,0.03171,0.02884,0.02933,123301465.0,2026-01-20 00:00:00
1768881600000,0.02933,0.02978,0.0274,0.02748,136063462.0,2026-01-20 04:00:00
1768896000000,0.02748,0.02847,0.02679,0.02795,166679378.0,2026-01-20 08:00:00
1768910400000,0.02796,0.02961,0.02774,0.02896,168030485.0,2026-01-20 12:00:00
1768924800000,0.02897,0.03094,0.02889,0.02971,146046481.0,2026-01-20 16:00:00
1768939200000,0.02971,0.03005,0.02772,0.02794,90443246.0,2026-01-20 20:00:00
1768953600000,0.02797,0.03127,0.02774,0.03123,133552246.0,2026-01-21 00:00:00
1768968000000,0.03122,0.03354,0.03067,0.03286,243601760.0,2026-01-21 04:00:00
1768982400000,0.03285,0.03287,0.03005,0.03128,167355392.0,2026-01-21 08:00:00
1768996800000,0.03128,0.03188,0.03043,0.0308,152964553.0,2026-01-21 12:00:00
1769011200000,0.03079,0.03266,0.03076,0.03248,154041691.0,2026-01-21 16:00:00
1769025600000,0.03249,0.03249,0.03033,0.03085,93167862.0,2026-01-21 20:00:00
1769040000000,0.03084,0.03135,0.03014,0.03027,64761230.0,2026-01-22 00:00:00
1769054400000,0.03026,0.0316,0.03018,0.03085,103318057.0,2026-01-22 04:00:00
1769068800000,0.03084,0.03132,0.02906,0.02966,275712125.0,2026-01-22 08:00:00
1769083200000,0.02965,0.03294,0.02948,0.03268,569795560.0,2026-01-22 12:00:00
1769097600000,0.03268,0.03619,0.03217,0.03611,433319382.0,2026-01-22 16:00:00
1769112000000,0.03609,0.03943,0.03553,0.03614,276951721.0,2026-01-22 20:00:00
1769126400000,0.03613,0.03735,0.03462,0.03555,137223478.0,2026-01-23 00:00:00
1769140800000,0.03555,0.03764,0.03521,0.03587,133071615.0,2026-01-23 04:00:00
1769155200000,0.03587,0.03624,0.03383,0.03565,174198810.0,2026-01-23 08:00:00
1769169600000,0.03564,0.03576,0.03365,0.03458,293253483.0,2026-01-23 12:00:00
1769184000000,0.03459,0.03477,0.03317,0.03364,111917112.0,2026-01-23 16:00:00
1769198400000,0.03364,0.03642,0.03279,0.03613,95226002.0,2026-01-23 20:00:00
1769212800000,0.03615,0.03633,0.03491,0.03565,51073857.0,2026-01-24 00:00:00
1769227200000,0.03566,0.03652,0.03491,0.03569,79359232.0,2026-01-24 04:00:00
1769241600000,0.03569,0.04116,0.03563,0.04001,303147150.0,2026-01-24 08:00:00
1769256000000,0.04001,0.04041,0.03745,0.03821,400095309.0,2026-01-24 12:00:00
1769270400000,0.03822,0.04222,0.03784,0.04071,513325388.0,2026-01-24 16:00:00
1769284800000,0.04071,0.04072,0.03771,0.03848,155072553.0,2026-01-24 20:00:00
1769299200000,0.03846,0.03887,0.0367,0.03775,67700676.0,2026-01-25 00:00:00
1769313600000,0.03774,0.0393,0.03695,0.03816,269368052.0,2026-01-25 04:00:00
1769328000000,0.03817,0.03817,0.03556,0.03659,1231677684.0,2026-01-25 08:00:00
1769342400000,0.03658,0.03778,0.03596,0.03644,2102609206.0,2026-01-25 12:00:00
